name,value,iso_a3,
Indonesia,8010.72,IDN,
Thailand,7512.6,THA,
Malaysia,6540.8,MYS,
Singapore,2808.3,SGP,
Philippines,1243.16,PHL,
Myanmar,1053.75,MMR,
Vietnam,992.6,VNM,
Japan,674.87,JPN,
Lao PDR,176.49,LAO,
Cambodia,147.02,KHM,
India,129.74,IND,
United Arab Emirates,109.5,ARE,
Brunei,51,BRN,
Turkey,41.2,TUR,
Korea,24.06,KOR,
Saudi Arabia,23,SAU,
Nepal,10.38,NPL,
Dem. Rep. Korea,10,PRK,
Israel,8.07,ISR,
Timor-Leste,7.56,TLS,
Mongolia,6.67,MNG,
United States,4160.43,USA,
Canada,1511.22,CAN,
Peru,989.77,PER,
Brazil,252.25,BRA,
Panama,135.96,PAN,
Argentina,85.48,ARG,
Venezuela,78.36,VEN,
Mexico,60,MEX,
Costa Rica,43.7,CRI,
Ecuador,26.8,ECU,
Jamaica,23.11,JAM,
Dominican Rep.,19.08,DOM,
Guatemala,16,GTM,
Chile,14.57,CHL,
Suriname,13,SUR,
Guyana,11.56,GUY,
Belize,10,BLZ,
Trinidad and Tobago,9.1,TTO,
Cuba,5.89,CUB,
French Guiana,5.51,FRA,
Netherlands Antilles,5.5,NLD,
Paraguay,5.06,PRY,
Russia,447.2,RUS,
France,441.75,FRA,
United Kingdom,401.02,GBR,
Italy,201.74,ITA,
Spain,140.62,ESP,
Netherlands,111.45,NLD,
Germany,91.51,DEU,
Sweden,27.43,SWE,
Austria,20,AUT,
Ireland,17.91,IRL,
Portugal,14.46,PRT,
Norway,14.44,NOR,
Hungary,12.65,HUN,
Denmark,12.07,DNK,
Switzerland,10.83,CHE,
Belgium,9.01,BEL,
Greece,7.47,GRC,
Romania,7.05,ROU,5.02
Ukraine,6.56,UKR,
Finland,6.14,FIN,
Bulgaria,5.02,BGR,
Australia,754.87,AUS,
New Zealand,149,NZL,
French Polynesia,20.26,FRA,
Papua New Guinea,15.83,PNG,
Fiji,5.55,FJI,
Guam,5.18,GUM,
South Africa,110.22,ZAF,
Mauritius,30,MUS,
Reunion,28,FRA,
Nigeria,25.42,NGA,
Madagascar,18,MDG,
Zimbabwe,6.1,ZWE,
Gabon,5.64,GAB,
Kenya,5.13,KEN,